,Artist,Song,Emotion
1262,Los Mier,Te Amo,sad
1263,Los Pasteles Verdes,El Solitario,sad
1264,Los Pikadientes De Caborca,La Cumbia Del Rio,sad
1265,Los Primos De Durango,Se Me Antoja Tu Piel,sad
1266,Los Rieleros Del Norte,Un Juego,sad
1267,Los Super Reyes,El Rey ,sad
1268,Los Temerarios,Al Otro Lado Del Sol,sad
1269,Los Tigres Del Norte,Jose Perez Leon,sad
1270,Los Traileros Del Norte,Anoche Estuve Llorando,sad
1271,Lou Rawls,You've Made Me So Very Happy,happy
1272,Louis Armstrong,Nobody Knows The Trouble I've Seen,angry
1273,Louis Armstrong,Stormy Weather,sad
1274,Louis Armstrong,We Have All The Time In The World,happy
1275,Louis Armstrong,What A Wonderful World,relaxed
1276,Love Is All,Bigger Bolder,angry
1277,Love Is All,Make Out Fall Out Make Up,sad
1278,Low,Just Like Christmas,happy
1279,Low,Just Stand Back,sad
1280,Luciano,For The Leaders,angry
1281,Lucinda Williams,Born To Be Loved,happy
1282,Lucinda Williams,Joy,happy
1283,Lucinda Williams,Kiss Like Your Kiss,happy
1284,Lucinda Williams,Real Love,happy
1285,Luis Enrique,San Juan Sin Ti,sad
1286,Luis Fonsi,Abrazar La Vida,sad
1287,Luis Miguel,Ayer,sad
1288,Luis Miguel,Cruz De Olvido,sad
1289,Lupe Fiasco,Intruder Alert ,angry
1290,Luther Vandross,A Kiss For Christmas,happy
1291,Luther Vandross,Any Love,happy
1292,Luther Vandross,Anyone Who Had A Heart,happy
1293,Luther Vandross,At Christmas Time,happy
1294,Luther Vandross,Got You Home,relaxed
1295,Luther Vandross,With A Christmas Heart,happy
1296,Lykke Li,My Love,happy
1297,Lykke Li,Youth Knows No Pain,angry
1298,Lynyrd Skynyrd,That Smell,sad
1299,Lynyrd Skynyrd,You Got That Right,angry
1300,M. Ward,Blake's View,sad
1301,M.I.A.,Bucky Done Gun,angry
1302,M.I.A.,Fire Fire,angry
1303,MDO,No Puedo Olvidarme De Ti ,sad
1304,MERCY ME,Joseph's Lullaby,relaxed
1305,Machine Head,Aesthetics Of Hate,angry
1306,Machine Head,Clenching The Fists Of Dissent,angry
1307,Machine Head,Ten Ton Hammer,angry
1308,Madeleine Peyroux,Careless Love,happy
1309,Madonna,Angel,relaxed
1310,Magneto,La Puerta Del Colegio,sad
1311,Malachai,Rainbows ,relaxed
1312,Malefaction,Abused And Unloved,sad
1313,Maps,It Will Find You,happy
1314,Maps & Atlases,Living Decorations,sad
1315,Marc Anthony,Hasta Que Vuelvas Conmigo ,sad
1316,Marc Anthony,Viviendo,sad
1317,Marco Antonio Solis,Amor En Silencio,sad
1318,Marco Antonio Solis,Si No Te Hubieras Ido,sad
1319,Mariah Carey,Joy To The World,happy
1320,Mariah Carey,Silent Night,relaxed
1321,Marianne Faithfull,Sad Lisa,sad
1322,Marilyn Manson,Sweet Dreams ,angry
1323,Marilyn Manson,Tainted Love,happy
1324,Marilyn Manson,The Fight Song,angry
1325,Marilyn Manson,The Nobodies,sad
1326,Mark Chesnutt,Brother Jukebox,relaxed
1327,Mark Chesnutt,Your Love Is A Miracle,happy
1328,Mark Ronson,Bang Bang Bang ,sad
1329,Mark Ronson,Just ,sad
1330,Mark Ronson,Oh My God ,relaxed
1331,Mark Schultz,Love Has Come,happy
1332,Marques Houston,Favorite Girl,relaxed
1333,Marsha Ambrosius,Lose Myself,happy
1334,Martha & The Muffins,Echo Beach,relaxed
1335,Martha & The Vandellas,I'm Ready For Love,happy
1336,Martha Munizzi,Invincible God,happy
1337,Martha Munizzi,Mighty God,happy
1338,Martina McBride,Silent Night,relaxed
1339,Marty Robbins,Big Iron,sad
1340,Marty Stuart,Burn Me Down,angry
1341,Marvin Gaye,Come Live With Me Angel,relaxed
1342,Marvin Gaye,Joy,happy
1343,Marvin Gaye,Pride And Joy ,happy
1344,Marvin Gaye,You Sure Love To Ball,happy
1345,Mary J. Blige,A Dream,relaxed
1346,Mary J. Blige,I Can See In Color,relaxed
1347,Mary J. Blige,I Love You,happy
1348,Mary J. Blige,Real Love,happy
1349,Mary J. Blige,Real Love ,happy
1350,Mary Mary,Ordinary People,happy
1351,Mary Wells,What Love Has Joined Together,happy
1352,Massive Attack,Angel,happy
1353,Mastodon,Colony Of Birchmen,sad
1354,Mastodon,Crusher Destroyer,angry
1355,Mastodon,Iron Tusk,angry
1356,Matt & Kim,Don't Slow Down,sad
1357,Matt Brouwer,"Father, I Adore You",happy
1358,Matt Brouwer,Have Yourself A Merry Little Christmas,happy
1359,Matt Brouwer,Sometimes,angry
1360,Matt Maher,Empty & Beautiful,angry
1361,Matt Redman,This Is How We Know,happy
1362,Matthew Dear,Soil to Seed,sad
1363,Mavis Staples,You Are Not Alone,angry
1364,Max Romeo & The Upsetters,War Ina Babylon,angry
1365,Maxwell,Fortunate,relaxed
1366,Maysa,A Woman In Love,happy
1367,Maysa,Out Of The Blue,happy
1368,Maysa,The Lady In My Life,happy
1369,Maze,Happy Feelin's ,happy
1370,Maze,Love Is The Key ,relaxed
1371,Maze,Southern Girl ,relaxed
1372,Maze,We Are One ,happy
1373,McCartney  Paul/Wings,Silly Love Songs,happy
1374,Me First & The Gimme Gimmes,Over The Rainbow,relaxed
1375,Me'Shell Ndegeocello,Love You Down,happy
1376,Meat Loaf,Hot Patootie-Bless My Soul,relaxed
1377,Megadeth,Angry Again,angry
1378,Megadeth,FFF,angry
1379,Megadeth,The Killing Road,angry
1380,Mel Torme,Comin' Home Baby,relaxed
1381,Melba Moore,Time To Come Home ,relaxed
1382,Melissa Etheridge,Blue Christmas,relaxed
1383,Melissa Etheridge,Christmas In America,relaxed
1384,Melissa Etheridge,I'm The Only One,angry
1385,Melody Gardot,Love Me Like A River Does,happy
1386,Melody Gardot,Over The Rainbow,relaxed
1387,Melvins,Gluey Porch Treatments,sad
1388,Menomena,Lunchmeat,sad
1389,MercyMe,Bless Me Indeed,relaxed
1390,MercyMe,Joseph's Lullaby,relaxed
1391,Merle Haggard,Going Where The Lonely Go,sad
1392,Merle Haggard,Rainbow Stew,relaxed
1393,Metallica,Crash Course In Brain Surgery,angry
1394,Metallica,Cyanide,sad
1395,Metallica,Fight Fire With Fire,angry
1396,Metallica,Free Speech For The Dumb,relaxed
1397,Metallica,Harvester Of Sorrow,angry
1398,Metallica,Holier Than Thou,sad
1399,Metallica,Last Caress/Green Hell,sad
1400,Metallica,Metal Militia,sad
1401,Metallica,Seek &#x26; Destroy,angry
1402,Metallica,Seek And Destroy,angry
1403,Metallica,St. Anger,angry
1404,Metric,Eclipse ,angry
1405,Metric,Monster Hospital,angry
1406,Metric,On The Sly,angry
1407,Micah Stampley,War Cry,angry
1408,Michael Bolton,Have Yourself A Merry Little Christmas,happy
1409,Michael Bolton,Said I Loved You...But I Lied,happy
1410,Michael Bolton,To Love Somebody,happy
1411,Michael Buble,Dream,relaxed
1412,Michael Buble,Home,relaxed
1413,Michael Franti & Spearhead,All I Want Is You,happy
1414,Michael Franti & Spearhead,Light Up Ya Lighter,angry
1415,Michael Jackson,Gone Too Soon,relaxed
1416,Michael Jackson,Got To Be There,relaxed
1417,Michael Jackson,Happy,happy
1418,Michael Jackson,One More Chance,happy
1419,Michael McDonald,I'll Be Home For Christmas,relaxed
1420,Michael McDonald,One Gift,happy
1421,Michael W. Smith,Awesome God,happy
1422,Michelle Branch,All You Wanted,sad
1423,Mick Hucknall,Ain't That Lovin' You,happy
1424,Mickey Gilley,Lonely Nights,sad
1425,Midge Ure,Four,happy
1426,Midlake,Head Home,relaxed
1427,Miguel Aceves Mejia,Rogaciano,sad
1428,Miike Snow,Burial,angry
1429,Mika,Happy Ending,happy
1430,Mike Reno & Ann Wilson,Almost Paradise,relaxed
1431,Miki Howard,Come Share My Love,happy
1432,Mila J,No More Complaining,sad
1433,Millie Small,My Boy Lollipop,happy
1434,Ministry,Everyday Is Halloween,angry
1435,Mink DeVille,Heaven Stood Still,relaxed
1436,Minnie Riperton,Completeness,happy
1437,Minogue  Kylie,I Should Be So Lucky,happy
1438,Mint Condition,You Don't Have To Hurt No More,angry
1439,Mishka,Above The Bones,relaxed
1440,Miss Kittin & The Hacker,Indulgence,happy
1441,Mission Of Burma,Donna Sumeria,happy
1442,Mission Of Burma,That's How I Escaped My Certain Fate,sad
1443,Mitty Collier,Sharing You,happy
1444,Mnemic,Within,angry
1445,Moby,Nearer,relaxed
1446,Moby,Study War,angry
1447,Moenia,Ni Tu Ni Nadie,sad
1448,Monchy & Alexandra,Dos Locos,sad
1449,Monchy & Alexandra,Hasta El Fin,sad
1450,Morcheeba,Fear & Love,angry
1451,Morcheeba,Sao Paulo,angry
1452,Morgan Heritage,Don't Haffi Dread,angry
1453,Morphine,Honey White,relaxed
1454,Morrissey,"The More You Ignore Me, The Closer I Get",angry
1455,Motley Crue,Afraid,angry
1456,Motley Crue,Get It For Free,relaxed
1457,Motley Crue,Home Sweet Home,relaxed
1458,Motley Crue,Louder Than Hell,angry
1459,Motley Crue,White Trash Circus,sad
1460,Motograter,Down,sad
1461,Motorhead,The Game,angry
1462,Mount Moriah,Lament,angry
1463,Mountain,Theme From An Imaginary Western,sad
1464,Mr. Big,Addicted To That Rush,sad
1465,Mr. Capone-E,Light My Fire ,angry
1466,Mr. Mister,Is It Love,happy
1467,Mudcrutch,Crystal River,relaxed
1468,Mudvayne,Scream With Me,angry
1469,Murder By Death,Comin' Home,relaxed
1470,Muse,Knights Of Cydonia,angry
1471,Muse,Map Of The Problematique,sad
1472,Muse,Stockholm Syndrome,angry
1473,Muse,Supermassive Black Hole,sad
1474,Muse,Supermassive Black Hole (Album Version),sad
1475,Muse,Take A Bow,angry
1476,Musiq,Girl Next Door ,relaxed
1477,Musiq,Settle For My Love ,happy
1478,Mustafa Sandal,Kalmadi,sad
1479,Mutemath,The Nerve,angry
1480,MxPx,Drum Machine Joy,happy
1481,My Bloody Valentine,Soon,angry
1482,My Chemical Romance,You Know What They Do To Guys Like Us In Prison (Album Version),angry
1483,My Darkest Days,Move Your Body,angry
1484,My Morning Jacket,Circuital,sad
1485,MÃ¥negarm,Ur SjÃ¤lslig DÃ¶d,sad
1486,NLT,That Girl,relaxed
1487,Nailbomb,Wasting Away,sad
1488,Nana Mouskouri,Only You,happy
1489,Nat King Cole,Brazilian Love Song ,relaxed
1490,Nat King Cole,L-O-V-E,happy
1491,Nat King Cole,The Very Thought Of You ,relaxed
1492,Nat King Cole,Too Young,happy
1493,Natalie Cole,Inseparable,relaxed
1494,Natalie Cole,L-O-V-E,happy
1495,Natalie Cole,Our Love,happy
1496,Natalie Cole,This Will Be,happy
1497,Natalie Merchant,"Crying, My Little One",relaxed
1498,Natasha Bedingfield,These Words,happy
1499,Neil Diamond,Dear Father,relaxed
1500,Neil Diamond,Kentucky Woman,relaxed
1501,Neil Sedaka,Because Of You,happy
1502,Neil Young,Angry World,angry
1503,Neil Young,California Sunset,relaxed
1504,Neil Young,Heart Of Gold,happy
1505,Neil Young,Only Love Can Break Your Heart,happy
1506,Neil Young,Sign Of Love,happy
1507,Neko Case,Lady Pilot,angry
1508,Nellie McKay,Mother Of Pearl,angry
1509,Nellie McKay,The Very Thought Of You,relaxed
1510,Nelly,Party People ,happy
1511,Nelly Furtado,I'm Like A Bird,relaxed
1512,Neon Indian,"Mind, Drips",sad
1513,New Direction,I Came To Jesus,sad
1514,New Edition,Candy Girl,relaxed
1515,New Edition,I'm Still In Love With You,happy
1516,New Edition,Lost In Love,happy
1517,New Edition [US],Candy Girl,relaxed
1518,New Found Glory,It's Not Your Fault,sad
1519,New Order,Age Of Consent,angry
1520,New Order,Shellshock,angry
1521,New Order,Your Silent Face,sad
1522,New York Dolls,Trash,sad
1523,New York Dolls,Trash (live Paris),sad
1524,Newsong,My Heart's Already There,happy
1525,Nice & Wild,Diamond Girl,relaxed
1526,Nichole Nordeman,Time After Time ,sad
1527,Nick Cave & The Bad Seeds,Christina The Astonishing (2010 Digital Remaster),sad
1528,Nick Lowe,Without Love,happy
1529,Nicki Minaj,Save Me,relaxed
1530,Nicolette Larson,Lotta Love,happy
1531,Night Ranger,Don't Tell Me You Love Me,happy
1532,Nilsson  Harry,1941,relaxed
1533,Nina Simone,Feeling Good,relaxed
1534,Nina Simone,House Of The Rising Sun,relaxed
1535,Nina Simone,To Love Somebody,happy
1536,Nine Inch Nails,Terrible Lie,angry
1537,Nirvana,Come As You Are,angry
1538,Nirvana,Frances Farmer Will Have Her Revenge On Seattle,sad
1539,Nirvana,Negative Creep,relaxed
1540,Nirvana,Polly,sad
1541,Nirvana,Polly ,sad
1542,Nirvana,Rape Me,angry
1543,Nirvana,Sliver,relaxed
1544,Nirvana,Very Ape,relaxed
1545,Nirvana,You Know You're Right,angry
1546,Nitin Sawhney,Sunset,relaxed
1547,Nitzer Ebb,Join In The Chant,angry
1548,Nnenna Freelon,If I Only Had A Brain ,angry
1549,No Age,Fever Dreaming,sad
1550,No Age,Life Prowler,happy
1551,No Age,Things I Did When I Was Dead,angry
1552,Noah And The Whale,Give A Little Love,happy
1553,Norah Jones,Chasing Pirates,sad
1554,Norah Jones,My Blue Heaven,relaxed
1555,Norah Jones,Shoot The Moon,sad
1556,Norah Jones,The Long Way Home,relaxed
1557,Norman Hutchins,Get Ready For Your Miracle,happy
1558,Nouvelle Vague,Ever Fallen In Love?,happy
1559,Nouvelle Vague,Making Plans For Nigel,happy
1560,Nouvelle Vague,This Is Not A Love Song,happy
1561,Nyasia,Who's Got Your Love,happy
1562,OFF!,Poison City,angry
1563,OFF!,Upside Down,sad
1564,OK Go,All Is Not Lost,angry
1565,Obits,Back And Forth,sad
1566,Obituary,Slowly We Rot,angry
1567,Of Montreal,Doing Nothing,sad
1568,Oh Land,White Nights,relaxed
1569,Ohio Express,Yummy Yummy Yummy,happy
1570,Olga Tanon,Asi Es La Vida,sad
1571,Olivia Newton-John,I Honestly Love You,happy
1572,One Way,Cutie Pie,relaxed
1573,Ooklah The Moc,Hell Fire,angry
1574,Operation Ivy,Unity,angry
1575,Opeth,Heir Apparent,sad
1576,Orange Juice,Falling And Laughing,angry
1577,Orleans,Still The One,happy
1578,Otis Redding,Let Me Come On Home,relaxed
1579,Otis Redding,Respect,relaxed
1580,Otis Redding,That's How Strong My Love Is,happy
1581,Out Hud,It's For You,sad
1582,Out Of Eden,O Little Town Of Bethlehem,relaxed
1583,Owens  Buck,Sally Was a Good Old Girl,relaxed
1584,Ozomatli,Aqui No Sera,sad
1585,Ozzy Osbourne,Killer Of Giants,angry
1586,P.O.D.,Eyes Of A Stranger (Album Version),angry
1587,P.O.D.,Wildfire (Album Version),angry
1588,PJ Harvey,This Mess We're In,relaxed
1589,Palomo,Baraja De Oro,sad
1590,Palomo,No Me Conoces Aun,sad
1591,Palomo,Nos Falto,sad
1592,Panda Bear,Search For Delicious,angry
1593,Panic At The Disco,Northern Downpour (Album Version),sad
1594,Pantera,Floods,angry
1595,Pantera,This Love,happy
1596,Papa Roach,Burn,angry
1597,Paris Hilton,Fightin' Over Me ,angry
1598,Parlours,I Dream Of Chicago,relaxed
1599,Pat Benatar,Fire And Ice,angry
1600,Pat Benatar,Hit Me With Your Best Shot,angry
1601,Pat Benatar,We Live For Love,happy
1602,Patrice Rushen,Remind Me,happy
1603,Patrice Rushen,Settle For My Love,happy
1604,Patricia Barber,Easy To Love,relaxed
1605,Patrulla 81,Como Me Haces Falta,sad
1606,Patti LaBelle,Kiss Away The Pain,angry
1607,Patti LaBelle,Over The Rainbow,relaxed
1608,Patti LaBelle,When You Talk About Love,happy
1609,Patty Griffin,Moses,sad
1610,Patty Griffin,Rowing Song,sad
1611,Patty Griffin,You'll Remember,sad
1612,Patty Loveless,I'm That Kind Of Girl,relaxed
1613,Paul Anka,Puppy Love,happy
1614,Paul McCartney,Another Day,sad
1615,Paul McCartney,Freedom ,happy
1616,Paul McCartney,My Love,happy
1617,Paul McCartney & Wings,Helen Wheels,sad
1618,Paul McCartney & Wings,My Love,happy
1619,Paula Abdul,The Way That You Love Me,happy
1620,Paulina Rubio,Algo De Ti,sad
1621,Pavement,Unfair,sad
1622,Peaches & Herb,Close Your Eyes,happy
1623,Pearl Jam,Glorified G,angry
1624,Pearl Jam,Why Go,relaxed
1625,Pedro Infante,Luna De Octubre,sad
1626,Pee Wee King,Slow Poke,sad
1627,Peggy Lee,Happy Holiday,happy
1628,Peggy Lee,Santa Claus Is Coming To Town,sad
1629,Peggy Sue,Matilda,sad
1630,Pendulum,Out Here,sad
1631,Pete Droge & The Sinners,Beautiful Girl,relaxed
1632,Peter & Gordon,True Love Ways,happy
1633,Peter Cetera,Glory Of Love,happy
1634,Peter Frampton,I'm In You,happy
1635,Peter Gabriel,Digging In The Dirt,sad
1636,Peter Gabriel,Shock The Monkey,sad
1637,Peter White,Silent Night,relaxed
1638,Peter White,Silent Night ,relaxed
1639,"Peter, Paul & Mary",We Wish You A Merry Christmas ,happy
1640,Phantom Planet,Here I Am,relaxed
1641,Phil Collins,Another Day In Paradise,relaxed
1642,Phil Perry,If Only You Knew,happy
1643,Phil Perry,Love Don't Love Nobody,happy
1644,Phil Perry,The World Is A Ghetto,relaxed
1645,"Phillips, Craig & Dean",Because I'm Forgiven,happy
1646,"Phillips, Craig & Dean",Friend Of God,happy
1647,"Phillips, Craig & Dean",You Are God Alone,happy
1648,"Phillips, Craig & Dean",You Are My King ,happy
1649,Phish,Free,relaxed
1650,Phobia,Sign Of Times,angry
1651,Phyllis Hyman,I Don't Want To Lose You,happy
1652,Phyllis Hyman,"Loving You, Losing You",angry
1653,Pink Floyd,Chapter 24,relaxed
1654,Pink Floyd,One Of These Days,sad
1655,Pink Floyd,Pigs On The Wing 1,sad
1656,Pink Floyd,Set The Controls For The Heart Of The Sun,happy
1657,Pink Floyd,Take Up Thy Stethoscope And Walk,angry
1658,Pink Floyd,Take Up Thy Stethoscope and Walk,angry
1659,Placebo,The Never-Ending Why,sad
1660,Playing For Change,Don't Worry,relaxed
1661,Pocket Full Of Rocks,Song To The King,happy
1662,Point Of Grace,All The World,relaxed
1663,Point Of Grace,Joy To The World,happy
1664,Poly Styrene,I Luv Ur Sneakers,happy
1665,Pop  Iggy,Lust for Life,happy
1666,Porter Wagoner,"Green, Green Grass Of Home",relaxed
1667,Portugal. The Man,People Say,angry
1668,Praise Band,Awesome God,happy
1669,Priestess,Lady Killer,angry
1670,Prince,Sexy Dancer,happy
1671,Procol Harum,Conquistador,sad
1672,Public Image Ltd,The Suit,relaxed
1673,Public Image Ltd,This Is Not A Love Song,happy
1674,Puddle Of Mudd,Away From Me,angry
1675,Queen,Play The Game,happy
1676,Queen,Thank God It's Christmas,happy
1677,Queen Latifah,Simply Beautiful ,happy
1678,Queen Latifah,Weekend Love,happy
1679,Queen Latifah,What Love Has Joined Together,happy
1680,Queens Of The Stone Age,Everybody's Gonna Be Happy,happy
1681,Queens Of The Stone Age,"Sick, Sick, Sick",sad
1682,Quincy Jones,Killer Joe,sad
1683,R. Kelly,Touched A Dream,relaxed
1684,R.E.M.,Shiny Happy People,happy
1685,R.E.M.,The One I Love,angry
1686,RBD,Nuestro Amor,sad
1687,Ra,Do You Call My Name,angry
1688,Ra Ra Riot,Foolish,sad
1689,Rachelle Ferrell,Extensions,happy
1690,Rachelle Ferrell,You Send Me,happy
1691,Radiohead,Go To Sleep,sad
1692,Radiohead,Just,sad
1693,Radiohead,Nude,sad
1694,Radiohead,You (Demo),angry
1695,Rage Against The Machine,Bombtrack,angry
1696,Raheem DeVaughn,I Don't Care,angry
1697,Raheem DeVaughn,Nobody Wins A War ,angry
1698,Railroad Earth,Hard Livin',sad
1699,Rainbow,Still I'm Sad,sad
1700,Rancid,Black Lung (Album Version),sad
1701,Rancid,The Bravest Kids,angry
1702,Rancid,The Bravest Kids (Acoustic),angry
1703,Randy Newman,It's Money That I Love,happy
1704,Randy Stonehill,Angry Young Men (LP Version),angry
1705,Randy Travis,If I Didn't Have You,sad
1706,Randy Travis,Pretty Paper,relaxed
1707,Randy Travis,White Christmas Makes Me Blue,relaxed
1708,Rascal Flatts,I Won't Let Go,angry
1709,Rascal Flatts,I'll Be Home For Christmas,relaxed
1710,Ratatat,Seventeen Years,sad
1711,Ratt,You're In Love,happy
1712,Raul Malo,You're Only Lonely,sad
1713,Ray Charles,Christmas In My Heart,happy
1714,Ray Charles,Crazy Love ,happy
1715,Ray Charles,Lonely Avenue,sad
1716,Ray Charles,Somewhere Over The Rainbow ,relaxed
1717,Ray Charles,Sorry Seems To Be The Hardest Word ,sad
1718,Ray LaMontagne,Three More Days,relaxed
1719,Reach 454,6 Yrs (Album Version ),angry
1720,Ready For The World,Love You Down,happy
1721,Reba,Strange,relaxed
1722,Reba McEntire,Can't Even Get the Blues No More,sad
1723,Reba McEntire,I'm Not That Lonely Yet,sad
1724,Rebecca St. James,Happy Xmas ,happy
1725,Rebecca St. James,Psalm 139,happy
1726,Rebecca St. James,Song Of Love,happy
1727,Reckless Kelly,Some People's Kids,angry
1728,Red,Death Of Me,sad
1729,Red,Feed The Machine,sad
1730,Red Hot Chili Peppers,Scar Tissue,sad
1731,Reel Big Fish,The Fire,angry
1732,Regina Spektor,Real Love,happy
1733,Rene & Angela,I Love You More,happy
1734,Rev Theory,Broken Bones,angry
1735,Ricardo Arjona,La Mujer Que No Sone,sad
1736,Ricardo Arjona,Pinguinos En La Cama,sad
1737,Ricardo Montaner,Tan Enamorados,sad
1738,Rich Mullins,Awesome God,happy
1739,Richard Hell & the Voidoids,Love Comes in Spurts,happy
1740,Richie Havens,Here Comes The Sun,relaxed
1741,Ricky Martin,Con Tu Nombre,sad
1742,Ricky Van Shelton,Blue Christmas,relaxed
1743,Right Said Fred,I'm Too Sexy,happy
1744,Rihanna,Good Girl Gone Bad,relaxed
1745,Rihanna,Rockstar 101 ,relaxed
1746,Rihanna,Russian Roulette,angry
1747,Ringo Starr,It Don't Come Easy,relaxed
1748,Rob Zombie,Demon Speeding,angry
1749,Rob Zombie,Mars Needs Women,angry
1750,Rob Zombie,Sick Bubble-Gum,sad
1751,Rob Zombie,Superbeast,sad
1752,Robben Ford,Something For The Pain,angry
1753,Robbie Robertson,He Don't Live Here No More,sad
1754,Robbie Robertson,Sweet Fire Of Love,angry
1755,Robbie Seay Band,Song Of Hope ,happy
1756,Robbie Seay Band,Song of Hope,happy
1757,Robert Cray,Smoking Gun,angry
1758,Robert Earl Keen,Something I Do,relaxed
1759,Robert John,Sad Eyes,sad
1760,Robert Plant,You Can't Buy My Love,happy
1761,Roberta Flack,Set The Night To Music ,relaxed
1762,Roberta Flack & Donny Hathaway,Where Is The Love,happy
1763,Roberta Gambarini,From This Moment On,relaxed
1764,Robi Draco Rosa,Vagabundo,sad
1765,Robin Thicke,Lost Without U,happy
1766,Robin Thicke,The Sweetest Love,happy
1767,Robyn,Show Me Love,happy
1768,Rocio Durcal,No Sirvo Para Estar Sin Ti,sad
1769,Rockell,In A Dream,happy
1770,Rockpile,Teacher Teacher,relaxed
1771,Rod Stewart,Passion,happy
1772,Rod Stewart,What A Wonderful World ,relaxed
1773,Roger Clyne & The Peacemakers,Mile High and Risin',sad
1774,Roger Daltrey,Without Your Love,happy
1775,Rogue Wave,Endless Shovel,sad
1776,Roisin Murphy,Let Me Know,sad
1777,Rolling Stones,Gimme Shelter,angry
1778,Ronnie Milsap,"Happy, Happy Birthday Baby",happy
1779,Ronnie Milsap,Stranger In My House,relaxed
1780,Roomful Of Blues,That's A Pretty Good Love,happy
1781,Rosanne Cash,Motherless Children,happy
1782,Rose,Sombre Con,sad
1783,Rosemary Clooney,Come On-A My House,relaxed
1784,Rosie & The Originals,Angel Baby,happy
1785,Ross  Diana & the Supremes,Baby Love,happy
1786,Rotten Sound,Scared,angry
1787,Roxy Music,Jealous Guy,angry
1788,Roy Milton,Thrill Me,happy
1789,Roy Orbison,Candy Man,relaxed
1790,Roy Orbison,Dream Baby ,relaxed
1791,Roy Orbison,Only The Lonely ,sad
1792,Roy Orbison,Pretty Paper,relaxed
1793,Roy Orbison,Running Scared,angry
1794,Royal Trux,I'm Ready,sad
1795,Royksopp,It's What I Want,relaxed
1796,Ruben Blades,El Padre Antonio Y El Monaguillo Andres,sad
1797,Ruby & The Romantics,Our Day Will Come,happy
1798,Rufus & Chaka Khan,Do You Love What You Feel,happy
1799,Rufus & Chaka Khan,Everlasting Love,happy
1800,Rundgren  Todd,Can We Still Be Friends?,sad
1801,Rush,Cold Fire,angry
1802,Ryan Adams,To Be Young ,sad
1803,Ryan Adams & The Cardinals,Fix It,happy
1804,Ryan Shaw,We Got Love,happy
1805,Ryan Star,Start A Fire,angry
1806,S. Carey,In The Dirt,sad
1807,SNAP!,The World In My Hands (We Are One),relaxed
1808,Sade,I Couldn't Love You More,happy
1809,Sade,Kiss Of Life,happy
1810,Sade,Love Is Found,happy
1811,Sade,Love Is Stronger Than Pride,happy
1812,Sade,Morning Bird,relaxed
1813,Sade,Never As Good As The First Time,relaxed
1814,Sade,No Ordinary Love,happy
1815,Sade,Somebody Already Broke My Heart,angry
1816,Salvador,You Are There,happy
1817,Sam Cooke,Trouble Blues,angry
1818,Sammi Smith,Help Me Make It Through The Night,sad
1819,Sammy Hagar,Baby's On Fire,angry
1820,Sammy Hagar,I Don't Need Love,happy
1821,Sammy Kershaw,Christmas Time's A Comin',happy
1822,Sammy Kershaw,Love Of My Life,happy
1823,Sanctus Real,Silent Night,relaxed
1824,Sanctus Real,The Face Of Love,happy
1825,Santana,I Don't Wanna Lose Your Love ,relaxed
1826,Santana,Rock Me,relaxed
1827,Santana,Whole Lotta Love ,happy
1828,Sara Bareilles & Ingrid Michaelson,Winter Song,happy
1829,Sara Groves,Child Of Love,happy
1830,Sara Groves,Love Is Still A Worthy Cause,happy
1831,Sarah McLachlan,Into The Fire,angry
1832,Sarah Sadler,Beautiful,happy
1833,Sarah Vaughan,Fever,sad
1834,Sarah Vaughan,Little Girl Blue,relaxed
1835,Sarah Vaughan,You're Not The Kind,relaxed
1836,Scissor Sisters,Fire With Fire,angry
1837,Scorpions,Animal Magnetism,happy
1838,Scorpions,Coming Home,relaxed
1839,Scorpions,Rock You Like A Hurricane,angry
1840,Scorpions,Still Loving You,happy
1841,Seal,I'm Still In Love With You,happy
1842,Seals & Crofts,Diamond Girl,relaxed
1843,Sean Kingston,Fire Burning On The Dance Floor,angry
1844,Sean Paul,I'm Still In Love With You ,happy
1845,Seether,Driven Under,angry
1846,Sepultura,Territory,angry
1847,Serani,Study People,angry
1848,Serena Ryder,Little Bit Of Red,relaxed
1849,Serge Gainsbourg,Requiem Pour Un C...,sad
1850,Serj Tankian,Sky Is Over,relaxed
1851,Sevendust,Bitch,angry
1852,Sex Pistols,Seventeen,sad
1853,Shadows Fall,King Of Nothing,angry
1854,Shadows Fall,Still I Rise,angry
1855,Shaggy,Angel ,relaxed
1856,Shalamar,Somewhere There's A Love,happy
1857,Shalamar,Take That To The Bank,happy
1858,Shania Twain,From This Moment On,relaxed
1859,Sharon Jones & The Dap-Kings,Be Easy,relaxed
1860,Sharon Jones & The Dap-Kings,Mama Don't Like My Man,relaxed
1861,Shawn Colvin,Get Out Of This House,relaxed
1862,She & Him,Home,relaxed
1863,She & Him,I Should Have Known Better,happy
1864,Shedaisy,Come Home Soon,relaxed
1865,Shedaisy,That's What I Want For Christmas,happy
1866,Shelby Lynne,Family Tree,sad
1867,Shelby Lynne,Pretend,angry
1868,Shenandoah,I Want To Be Loved Like That,happy
1869,Shenandoah,Rock My Baby,relaxed
1870,Sherwood,Free,relaxed
1871,Sheryl Crow,A Change Would Do You Good,relaxed
1872,Sheryl Crow,Blue Christmas,relaxed
1873,Sheryl Crow,Killer Life,angry
1874,Shontelle,Perfect Nightmare,angry
