Index,Artist,Song,Emotion
ML1183,Willie Nelson,Night Life ,happy
ML1184,Max Romeo & The Upsetters,War Ina Babylon,angry
ML1185,Freddie Hubbard,Red Clay,happy
ML1186,Static-X,Bled For Days,angry
ML1187,Hatebreed,Ghosts Of War,angry
ML1188,Howlin' Wolf,Shake For Me,relaxed
ML1189,"Earth, Wind & Fire",Evil,angry
ML1190,Della Reese,Don't You Know,happy
ML1191,James Taylor,Don't Let Me Be Lonely Tonight,sad
ML1192,Rob Zombie,Demon Speeding,angry
ML1193,Motorhead,The Game,angry
ML1194,Marc Anthony,Viviendo,sad
ML1195,Jo Dee Messina,Because You Love Me,happy
ML1196,Bad Religion,The Biggest Killer In American History,angry
ML1197,The Clash,Tommy Gun,angry
ML1198,Dio,Stand Up And Shout,angry
ML1199,Kirk Franklin & The Family,Now Behold The Lamb,relaxed
ML1200,Tye Tribbett & G.A.,Still Have Joy,happy
ML1201,Sarah Vaughan,Fever,sad
ML1202,Pendulum,Out Here,sad
ML1203,Bettye LaVette,It Don't Come Easy,relaxed
ML1204,Desperation Band,The Difference,happy
ML1205,Chelley,Took The Night,angry
ML1206,Jose Feliciano,Feliz Navidad,happy
ML1207,Johnny O.,Fantasy Girl,relaxed
ML1208,Sonora Santanera,Donde Estas Yolanda,sad
ML1209,Andy Palacio & The Garifuna Collective,Baba ,sad
ML1210,Harlem,Spray Paint,relaxed
ML1211,Fleet Foxes,Sun It Rises,relaxed
ML1212,Nellie McKay,The Very Thought Of You,relaxed
ML1213,The Album Leaf,Falling From The Sun,sad
ML1214,Nellie McKay,Mother Of Pearl,angry
ML1215,Steel Pulse,Blazing Fire ,angry
ML1216,Michael Franti & Spearhead,All I Want Is You,happy
ML1217,Broken Bells,Sailing To Nowhere,sad
ML1218,G. Love & Special Sauce,"Peace, Love & Happiness",relaxed
ML1219,Ed Bruce,You're The Best Break This Old Heart Ever Had,happy
ML1220,La Mafia,Quiero Amanecer Contigo,sad
ML1221,Conjunto Primavera,No Se Vivir Sin Ti,sad
ML1222,Palomo,Nos Falto,sad
ML1223,Dokken,Into The Fire,angry
ML1224,Kreator,Warcurse,angry
ML1225,Delirious?,I Could Sing Of Your Love Forever,happy
ML1226,Culture Club,The War Song,angry
ML1227,Skillet,The Last Night,sad
ML1228,Third Day,Silent Night,relaxed
ML1229,Elvis Presley,Blue Christmas,relaxed
ML1230,The Carpenters,"Merry Christmas, Darling",happy
ML1231,Kenny Loggins,Celebrate Me Home,relaxed
ML1232,Casting Crowns,I Heard The Bells On Christmas Day,relaxed
ML1233,Third Day,Joy To The World,happy
ML1234,Vince Vance & The Valiants,All I Want For Christmas Is You,relaxed
ML1235,Kelley Stoltz,Fire Escape,angry
ML1236,George Harrison,I Dig Love,happy
ML1237,Kirk Franklin & The Family,Silent Night,relaxed
ML1238,Boyz II Men,Silent Night,relaxed
ML1239,Israel Houghton,I Receive,happy
ML1240,Sharon Jones & The Dap-Kings,Be Easy,relaxed
ML1241,Israel Houghton,Others,happy
ML1242,Incognito,Feel The Pressure,angry
ML1243,Alejandro Sanz,Cuando Nadie Me Ve,sad
ML1244,Elvis Costello,I Lost You,angry
ML1245,The Replacements,Skyway,sad
ML1246,Vampire Weekend,Mansard Roof,sad
ML1247,Grant-Lee Phillips,It Ain't The Same Old Cold War Harry,angry
ML1248,The Who,I'm Free,relaxed
ML1249,The Flaming Lips,Yoshimi Battles The Pink Robots,angry
ML1250,U2,I Fall Down,sad
ML1251,Jason Collett,I'll Bring The Sun,relaxed
ML1252,Bruce Springsteen,Fire,angry
ML1253,Andrew Bird,Plasticities,angry
ML1254,Lori McKenna,Pour,relaxed
ML1255,Alaska Y Dinarama,Ni Tu Ni Nadie,sad
ML1256,Marvin Gaye,You Sure Love To Ball,happy
ML1257,The Chi-Lites,Toby,sad
ML1258,Luther Vandross,At Christmas Time,happy
ML1259,Frank Sinatra,It Gets Lonely Early,sad
ML1260,John Pizzarelli,Mountain Greenery,relaxed
ML1261,The Brooklyn Tabernacle Choir,Happy Birthday Jesus,happy
ML1262,Rebecca St. James,Happy Xmas ,happy
ML1263,Matt Brouwer,Have Yourself A Merry Little Christmas,happy
ML1264,Jars Of Clay,Love Came Down at Christmas,happy
ML1265,MercyMe,Joseph's Lullaby,relaxed
ML1266,Third Day,Merry Christmas,happy
ML1267,Frank Reyes,Por Ti Voy A Morir,sad
ML1268,Rod Stewart,What A Wonderful World ,relaxed
ML1269,Judas Priest,Metal Gods,sad
ML1270,Alejandro Escovedo,Silver Cloud,happy
ML1271,The Beatles,Two Of Us,relaxed
ML1272,Mnemic,Within,angry
ML1273,Godsmack,Running Blind ,sad
ML1274,Teddy Pendergrass,Joy,happy
ML1275,Eva Cassidy,Time After Time,sad
ML1276,Courtney John,Lucky Man,happy
ML1277,Maysa,A Woman In Love,happy
ML1278,Michael Buble,Dream,relaxed
ML1279,Alejandra Guzman,Hasta El Final,sad
ML1280,The Prodigy,Shoot Down,angry
ML1281,Joy Division,Heart And Soul,angry
ML1282,Wire,Reuters,angry
ML1283,Junior Boys,Teach Me How To Fight,angry
ML1284,John Mayer,Slow Dancing In A Burning Room,sad
ML1285,Black Prairie,Red Rocking Chair,relaxed
ML1286,Tom Petty,It's Good To Be King,relaxed
ML1287,New Order,Your Silent Face,sad
ML1288,The Clash,I'm So Bored With The U.S.A.,sad
ML1289,Greg Laswell,Off I Go,sad
ML1290,Justice,Civilization,angry
ML1291,Sia,I Go To Sleep,relaxed
ML1292,The Big Pink,Love In Vain,happy
ML1293,Interpol,Safe Without,relaxed
ML1294,Morcheeba,Sao Paulo,angry
ML1295,Jeff Buckley,Grace,angry
ML1296,Cold War Kids,Hospital Beds,angry
ML1297,Air,Sexy Boy,happy
ML1298,Maps,It Will Find You,happy
ML1299,Air,Napalm Love,happy
ML1300,Eric Clapton,Bad Love,happy
ML1301,Elton John,Sorry Seems To Be The Hardest Word,sad
ML1302,The Meters,Chicken Strut,sad
ML1303,Wanda Jackson,Nervous Breakdown,angry
ML1304,M.I.A.,Fire Fire,angry
ML1305,Andreya Triana,X,sad
ML1306,Peggy Sue,Matilda,sad
ML1307,Z.Z. Hill,Down Home Blues,relaxed
ML1308,Ryan Adams & The Cardinals,Fix It,happy
ML1309,The Robert Cray Band,Smoking Gun,angry
ML1310,Huey,When I Hustle ,relaxed
ML1311,Parlours,I Dream Of Chicago,relaxed
ML1312,Three Dog Night,The Family Of Man,relaxed
ML1313,Vince Gill,Take Your Memory With You,sad
ML1314,Faith Hill,Take Me As I Am,relaxed
ML1315,Strike Anywhere,The Promise,sad
ML1316,Elefante,El Abandonao,sad
ML1317,Kenny Rogers,Love Lifted Me,happy
ML1318,L.A. Guns,Kiss My Love Goodbye,happy
ML1319,James Ingram,I Don't Have The Heart,happy
ML1320,Nelly,Party People ,happy
ML1321,The Dirty Dozen Brass Band,Ruler Of My Heart ,angry
ML1322,The Pretenders,Kid,sad
ML1323,The Drifters,Save The Last Dance For Me,relaxed
ML1324,Ray LaMontagne,Three More Days,relaxed
ML1325,Marvin Gaye,Come Live With Me Angel,relaxed
ML1326,Donnie McClurkin,Great And Mighty Is Our God,happy
ML1327,Maysa,Out Of The Blue,happy
ML1328,Lykke Li,Youth Knows No Pain,angry
ML1329,Darker My Love,Waves,sad
ML1330,Death By Stereo,Welcome To The Party,angry
ML1331,Marsha Ambrosius,Lose Myself,happy
ML1332,Dave Alvin,Black Sky,relaxed
ML1333,Mission Of Burma,Donna Sumeria,happy
ML1334,The Blues Brothers,Sweet Home Chicago,relaxed
ML1335,Ratatat,Seventeen Years,sad
ML1336,Six Feet Under,Seed Of Filth,sad
ML1337,Telekinesis,I Got You,relaxed
ML1338,Ceo,White Magic,relaxed
ML1339,Obits,Back And Forth,sad
ML1340,Surfer Blood,Take It Easy,relaxed
ML1341,Elliott Smith,Needle In The Hay,sad
ML1342,The Smiths,Ask,angry
ML1343,Discovery,So Insane,angry
ML1344,Mustafa Sandal,Kalmadi,sad
ML1345,Ratt,You're In Love,happy
ML1346,Charlie Gracie,Butterfly,relaxed
ML1347,Jose Jose,Tu Me Estas Volviendo Loco,sad
ML1348,Juan Luis Guerra,El Costo De La Vida,sad
ML1349,Ricky Martin,Con Tu Nombre,sad
ML1350,Marvin Gaye,Pride And Joy ,happy
ML1351,Queen Latifah,Simply Beautiful ,happy
ML1352,The Blind Boys Of Alabama,Down By The Riverside ,angry
ML1353,Gloria Lynne,I'm Glad There Is You,happy
ML1354,The Tymes,So Much In Love,happy
ML1355,Elvis Presley,Love Me Tender,happy
ML1356,Roy Orbison,Dream Baby ,relaxed
ML1357,The Allman Brothers Band,Revival,happy
ML1358,The Blackbyrds,Happy Music,happy
ML1359,Ray Charles,Crazy Love ,happy
ML1360,The Whispers,My Heart Your Heart,happy
ML1361,Blackstreet,Joy,happy
ML1362,U2,The Three Sunrises,happy
ML1363,Morrissey,"The More You Ignore Me, The Closer I Get",angry
ML1364,Fenix TX,All My Fault,sad
ML1365,Take 6,You Don't Have To Be Afraid,angry
ML1366,NLT,That Girl,relaxed
ML1367,J. Valentine,She Worth The Trouble,angry
ML1368,John Brown,Imma Love You Right,happy
ML1369,Los Super Reyes,El Rey ,sad
ML1370,Death Cab For Cutie,Someday You Will Be Loved,happy
ML1371,Daryle Singletary,Amen Kind Of Love,relaxed
ML1372,Lonestar,Tell Her,happy
ML1373,Lemon Jelly,Space Walk,happy
ML1374,Gregory Porter,Lonely One,sad
ML1375,Sinead O'Connor,War,angry
ML1376,Charles Bradley,I Believe In Your Love,happy
ML1377,The Grateful Dead,Fire On The Mountain,angry
ML1378,Dixie Chicks,There's Your Trouble,angry
ML1379,Loretta Lynn,Trouble On The Line,angry
ML1380,The Midnighters,Sexy Ways ,happy
ML1381,The Diamonds,The Stroll,relaxed
ML1382,Little Richard,Long Tall Sally,happy
ML1383,Mike Reno & Ann Wilson,Almost Paradise,relaxed
ML1384,Gregg Allman,I Believe I'll Go Back Home,relaxed
ML1385,Stevie Wonder,Creepin',relaxed
ML1386,Duffy,Rockferry,relaxed
ML1387,Justin Bieber,One Less Lonely Girl,sad
ML1388,Silversun Pickups,Growing Old Is Getting Old,angry
ML1389,Carney,Love Me Chase Me,relaxed
ML1390,Bobby Helms,My Special Angel,relaxed
ML1391,Clay Walker,I Can't Sleep,relaxed
ML1392,Mutemath,The Nerve,angry
ML1393,The Mars Volta,Asilos Magdalena,sad
ML1394,Solid Gold,Who You  Gonna Run To?,angry
ML1395,Karyn White,The Way You Love Me,happy
ML1396,Nina Simone,House Of The Rising Sun,relaxed
ML1397,The Breeders,New Year,relaxed
ML1398,Miss Kittin & The Hacker,Indulgence,happy
ML1399,The Concretes,You Can't Hurry Love,happy
ML1400,Dr. Dog,Ain't It Strange,relaxed
ML1401,Balkan Beat Box,War Again,angry
ML1402,Death Cab For Cutie,We Laugh Indoors,happy
ML1403,The Kills,U.R.A. Fever,sad
ML1404,Mickey Gilley,Lonely Nights,sad
ML1405,Toots & The Maytals,True Love Is Hard To Find ,happy
ML1406,Crowded House,Fall At Your Feet,sad
ML1407,Ten Years After,I'm Going Home,relaxed
ML1408,Donavon Frankenreiter,"Life, Love & Laughter",happy
ML1409,Mary Mary,Ordinary People,happy
ML1410,Nat King Cole,Brazilian Love Song ,relaxed
ML1411,Nnenna Freelon,If I Only Had A Brain ,angry
ML1412,Nnenna Freelon,If I Only Had A Brain ,angry
ML1413,Bebel Gilberto,Aganju,sad
ML1414,Priestess,Lady Killer,angry
ML1415,Morphine,Honey White,relaxed
ML1416,Aventura,La Nina,sad
ML1417,Sonic Youth,Incinerate,sad
ML1418,Ladytron,Seventeen,happy
ML1419,Bob Marley & The Wailers,No More Trouble,angry
ML1420,Black Uhuru,I Love King Selassie,happy
ML1421,Home Video,The Smoke,angry
ML1422,Steel Train,I Feel Weird,angry
ML1423,Louis Armstrong,Nobody Knows The Trouble I've Seen,angry
ML1424,Diana Krall,My Love Is,happy
ML1425,Linda Ronstadt,Little Girl Blue ,relaxed
ML1426,Bobby Womack,If You Think You're Lonely Now,sad
ML1427,Jermaine Jackson,Daddy's Home,relaxed
ML1428,K.C. & The Sunshine Band,Do You Wanna Go Party,happy
ML1429,Beyonce,I'd Rather Go Blind,relaxed
ML1430,Phil Perry,If Only You Knew,happy
ML1431,Buffalo Springfield,I Am A Child,relaxed
ML1432,Pink Floyd,Pigs On The Wing 1,sad
ML1433,The Association,Never My Love,happy
ML1434,Ray Charles,Lonely Avenue,sad
ML1435,Jakob Dylan,Gimme Some Truth ,relaxed
ML1436,Willie Nelson,Night Life,happy
ML1437,Gorillaz,Some Kind Of Nature ,relaxed
ML1438,The Pains Of Being Pure At Heart,Everything With You,sad
ML1439,We Were Promised Jetpacks,Ships With Holes Will Sink,sad
ML1440,The Duke Spirit,The Step And The Walk,happy
ML1441,Sharon Jones & The Dap-Kings,Mama Don't Like My Man,relaxed
ML1442,Wolf Parade,This Heart's On Fire,angry
ML1443,Ike & Tina Turner,I've Been Loving You Too Long,happy
ML1444,Air,Love,happy
ML1445,Kurt Elling,Say It ,happy
ML1446,Norah Jones,Shoot The Moon,sad
ML1447,Lou Rawls,You've Made Me So Very Happy,happy
ML1448,Mary J. Blige,A Dream,relaxed
ML1449,Nyasia,Who's Got Your Love,happy
ML1450,Destruction,Hate Is My Fuel,angry
ML1451,Dan Deacon,Okie Dokie,angry
ML1452,Innerpartysystem,American Trash,sad
ML1453,Thompson Square,Let's Fight,angry
ML1454,Bay City Rollers,Money Honey,relaxed
ML1455,Frankie Ruiz,Lo Dudo,sad
ML1456,Magneto,La Puerta Del Colegio,sad
ML1457,Santana,I Don't Wanna Lose Your Love ,relaxed
ML1458,Kiss,C'mon And Love Me,happy
ML1459,The Rolling Stones,Sway,angry
ML1460,Machine Head,Ten Ton Hammer,angry
ML1461,System Of A Down,War?,angry
ML1462,Bullet For My Valentine,Scream Aim Fire,angry
ML1463,Kansas,Fight Fire With Fire,angry
ML1464,The Beatles,Real Love,happy
ML1465,The Roots,The Fire ,angry
ML1466,The Used,Burning Down The House,angry
ML1467,Los Bukis,Contra Viento Y Marea,sad
ML1468,Anna Calvi,No More Words,happy
ML1469,Anna Calvi,Desire,angry
ML1470,Ricardo Arjona,La Mujer Que No Sone,sad
ML1471,Gang Of Four,Natural's Not In It,happy
ML1472,Stevie Wonder,Ordinary Pain,angry
ML1473,Jackie Wilson,To Be Loved,happy
ML1474,Death,Painkiller,angry
ML1475,Bayside,Already Gone,sad
ML1476,S. Carey,In The Dirt,sad
ML1477,Maps & Atlases,Living Decorations,sad
ML1478,Metallica,Free Speech For The Dumb,relaxed
ML1479,Tesla,Paradise,relaxed
ML1480,Aretha Franklin,See Saw,happy
ML1481,The Beatles,Your Mother Should Know,happy
ML1482,Alice Cooper,You Drive Me Nervous,angry
ML1483,Jill Scott,Hate On Me,angry
ML1484,Hooverphonic,2wicky,angry
ML1485,Kraak & Smaak,Keep Me Home ,relaxed
ML1486,The Cure,All Cats Are Grey,sad
ML1487,Crystal Castles,Vietnam,happy
ML1488,The Lemonheads,Dirty Robot,sad
ML1489,Pavement,Unfair,sad
ML1490,Basement Jaxx,Good Luck ,relaxed
ML1491,Machine Head,Clenching The Fists Of Dissent,angry
ML1492,Patti LaBelle,Over The Rainbow,relaxed
ML1493,Avenged Sevenfold,God Hates Us,angry
ML1494,Fear Factory,Fear Campaign,angry
ML1495,Dropkick Murphys,Peg O' My Heart,happy
ML1496,Stevie Wonder,Happy Birthday,happy
ML1497,Kem,Love Never Fails,happy
ML1498,Ray Charles,Sorry Seems To Be The Hardest Word ,sad
ML1499,Aaron Hall,All The Places ,happy
ML1500,Starfucker,Astoria,happy
ML1501,Anna Calvi,The Devil,angry
ML1502,Johnny Preston,Running Bear,relaxed
ML1503,The Five Keys,The Glory Of Love,happy
ML1504,Metric,Monster Hospital,angry
ML1505,The Used,Blue And Yellow,sad
ML1506,Lucinda Williams,Kiss Like Your Kiss,happy
ML1507,Waka Flocka Flame,Bang ,sad
ML1508,Randy Newman,It's Money That I Love,happy
ML1509,Korn,Blind,sad
ML1510,Mastodon,Colony Of Birchmen,sad
ML1511,Anita Baker,Lead Me Into Love,happy
ML1512,Jaill,The Stroller,angry
ML1513,Cut Copy,Hearts On Fire,angry
ML1514,Fleetwood Mac,Showbiz Blues,relaxed
ML1515,Massive Attack,Angel,happy
ML1516,The Cardigans,Carnival,happy
ML1517,Women,Locust Valley,sad
ML1518,The Flamingos,I'll Be Home,relaxed
ML1519,John Mayer,Perfectly Lonely,sad
ML1520,Paul McCartney,Another Day,sad
ML1521,Band Of Horses,Is There A Ghost,relaxed
ML1522,Robbie Robertson,Sweet Fire Of Love,angry
ML1523,Procol Harum,Conquistador,sad
ML1524,Exodus,Bonded By Blood,sad
ML1525,Lionel Richie,Deep River Woman,relaxed
ML1526,Iron Maiden,Be Quick Or Be Dead,angry
ML1527,Deadmau5,Outta My Life,sad
ML1528,Eliza Gilkyson,Looking For A Place,sad
ML1529,Calexico,Victor Jara's Hands,sad
ML1530,Warren Haynes,On A Real Lonely Night,sad
ML1531,Otis Redding,Let Me Come On Home,relaxed
ML1532,Sade,Love Is Found,happy
ML1533,Z-Trip,Walking Dead ,angry
ML1534,Cristian,Amor,sad
ML1535,Aterciopelados,Rompecabezas,sad
ML1536,Eric Clapton,Let It Grow,relaxed
ML1537,Avenged Sevenfold,Nightmare,angry
ML1538,Scorpions,Rock You Like A Hurricane,angry
ML1539,Papa Roach,Burn,angry
ML1540,Doors,Love Her Madly,happy
ML1541,Cult,Fire Woman,angry
ML1542,Machine Head,Aesthetics Of Hate,angry
ML1543,Dir En Grey,C,angry
ML1544,Red Hot Chili Peppers,Scar Tissue,sad
ML1545,Doors,Light My Fire,angry
ML1546,Smashing Pumpkins,Bullet With Butterfly Wings,angry
ML1547,Mudvayne,Scream With Me,angry
ML1548,Chevelle,Send The Pain Below,angry
ML1549,Motley Crue,Home Sweet Home,relaxed
ML1550,Rolling Stones,Gimme Shelter,angry
ML1551,Kiss,King Of The Night Time World,relaxed
ML1552,Grupo Bryndis,Asi Es El Amor,sad
ML1553,Los Angeles Negros,A Ti,sad
ML1554,R. Kelly,Touched A Dream,relaxed
ML1555,Women,Narrow With The Hall,sad
ML1556,Burial,Ghost Hardware,happy
ML1557,My Bloody Valentine,Soon,angry
ML1558,The Pains Of Being Pure At Heart,Even In Dreams,angry
ML1559,Elf Power,Let The Serpent Sleep,relaxed
ML1560,Andrew Bird,Simple X,angry
ML1561,The Beatles,For You Blue,relaxed
ML1562,Bobby Vinton,My Melody Of Love,happy
ML1563,Arc Angels,Shape I'm In,happy
ML1564,Bob Dylan,"Corrina, Corrina",relaxed
ML1565,Steel Panther,Death To All But Metal,sad
ML1566,Sheryl Crow,Killer Life,angry
ML1567,Big Head Todd & The Monsters,Please Don't Tell Her,happy
ML1568,Aaron Lewis,Massachusetts,relaxed
ML1569,Fleetwood Mac,Songbird,happy
ML1570,Boston,Party,happy
ML1571,The Beatles,Maxwell's Silver Hammer,sad
ML1572,The Who,Gettin' In Tune,relaxed
ML1573,Rene & Angela,I Love You More,happy
ML1574,Chaka Khan,Got To Be There,relaxed
ML1575,Shalamar,Somewhere There's A Love,happy
ML1576,Tiesto,Who Wants To Be Alone ,relaxed
ML1577,George Duke,Listen Baby,relaxed
ML1578,Musiq,Girl Next Door ,relaxed
ML1579,The Cure,The Perfect Girl,relaxed
ML1580,Martha & The Muffins,Echo Beach,relaxed
ML1581,Devo,Girl U Want,relaxed
ML1582,Ben Harper & The Innocent Criminals,Fight Outta You,angry
ML1583,Ginuwine,Trouble ,angry
ML1584,Tool,Part Of Me,sad
ML1585,Zapp & Roger,Slow And Easy,relaxed
ML1586,Patti LaBelle,When You Talk About Love,happy
ML1587,Mila J,No More Complaining,sad
ML1588,Musiq,Settle For My Love ,happy
ML1589,Brook Benton,Thank You Pretty Baby,happy
ML1590,Pink Floyd,Set The Controls For The Heart Of The Sun,happy
ML1591,Austrian Death Machine,It's Not A Tumor ,angry
ML1592,Walls Of Jericho,A Trigger Full Of Promises,angry
ML1593,Firehouse,Love Of A Lifetime,happy
ML1594,Jo Dee Messina,Burn,angry
ML1595,Chimaira,Power Trip,angry
ML1596,Radiohead,Go To Sleep,sad
ML1597,Can,Moonshake,relaxed
ML1598,Nouvelle Vague,Ever Fallen In Love?,happy
ML1599,Matt & Kim,Don't Slow Down,sad
ML1600,New Found Glory,It's Not Your Fault,sad
ML1601,LCD Soundsystem,Disco Infiltrator,sad
ML1602,Kisses,People Can Do The Most Amazing Things,angry
ML1603,Hot Chip,We Have Love,happy
ML1604,Starfucker,The White Of Noon,angry
ML1605,Wilson Pickett,I'm In Love,happy
ML1606,The Black Dahlia Murder,What A Horrible Night To Have A Curse,sad
ML1607,New York Dolls,Trash,sad
ML1608,Howlin' Wolf,Built For Comfort,relaxed
ML1609,Alela Diane,To Begin,sad
ML1610,Menomena,Lunchmeat,sad
ML1611,Malachai,Rainbows ,relaxed
ML1612,Frightened Rabbit,Fast Blood,angry
ML1613,Reba McEntire,I'm Not That Lonely Yet,sad
ML1614,Michael Bolton,To Love Somebody,happy
ML1615,Lupe Fiasco,Intruder Alert ,angry
ML1616,The Everly Brothers,Let It Be Me,happy
ML1617,Tiziano Ferro,Tardes Negras,sad
ML1618,Kyle Riabko,What Did I Get Myself Into,relaxed
ML1619,Donnie McClurkin,I Love To Praise Him,happy
ML1620,The Foreign Exchange,If This Is Love ,happy
ML1621,Israel Houghton,Our God,happy
ML1622,Kid Rock,Feel Like Makin' Love,happy
ML1623,Connie Smith,Just For What I Am,happy
ML1624,Of Montreal,Doing Nothing,sad
ML1625,Gold Motel,The Cruel One,sad
ML1626,Rotten Sound,Scared,angry
ML1627,Wolf Parade,I'll Believe In Anything,angry
ML1628,The Rapture,House Of Jealous Lovers,relaxed
ML1629,Best Coast,Happy,happy
ML1630,OFF!,Poison City,angry
ML1631,Cradle Of Filth,Nymphetamine,sad
ML1632,Mount Moriah,Lament,angry
ML1633,Low,Just Stand Back,sad
ML1634,Bright Eyes,Devil Town,angry
ML1635,Daft Punk,Something About Us,happy
ML1636,LCD Soundsystem,Too Much Love,happy
ML1637,Fenech-Soler,Contender,angry
ML1638,Luis Fonsi,Abrazar La Vida,sad
ML1639,Faith Hill,Joy To The World,happy
ML1640,Faith Hill,Where Are You Christmas?,happy
ML1641,John Lennon,Love,happy
ML1642,D'Angelo,Cruisin',happy
ML1643,John Lennon,Happy Xmas ,happy
ML1644,Eric Lindell,Lullaby For Mercy Ann,happy
ML1645,Anti-Flag,Turncoat,angry
ML1646,Dottie Peoples,Happy In Jesus,happy
ML1647,CeCe Winans,Away In A Manger,relaxed
ML1648,Brian McKnight,Because Of His Love,happy
ML1649,Israel & New Breed,Have Yourself A Merry Little Christmas,happy
ML1650,Daryl Hall & John Oates,Home For Christmas,relaxed
ML1651,"Harry Connick, Jr.",Blue Christmas,relaxed
ML1652,Kenny G,Joy To The World,happy
ML1653,Peter White,Silent Night,relaxed
ML1654,Vanessa Williams,Joy To The World ,happy
ML1655,Frank Sinatra,Have Yourself A Merry Little Christmas,happy
ML1656,Mariah Carey,Joy To The World,happy
ML1657,Mariah Carey,Silent Night,relaxed
ML1658,Rascal Flatts,I'll Be Home For Christmas,relaxed
ML1659,Kenny Rogers & Dolly Parton,With Bells On,relaxed
ML1660,Alan Jackson,Let It Be Christmas,happy
ML1661,Kenny Chesney,Pretty Paper,relaxed
ML1662,Jo Dee Messina,Silent Night,relaxed
ML1663,The Carpenters,Have Yourself A Merry Little Christmas,happy
ML1664,Casting Crowns,Silent Night,relaxed
ML1665,Jim Brickman,Sending You A Little Christmas,relaxed
ML1666,Lanae' Hale,Carol Of The Bells,happy
ML1667,James Taylor,Have Yourself A Merry Little Christmas,happy
ML1668,Bing Crosby,I Wish You A Merry Christmas,happy
ML1669,Andy Williams,Silent Night,relaxed
ML1670,Josh Groban,Silent Night,relaxed
ML1671,"Peter, Paul & Mary",We Wish You A Merry Christmas ,happy
ML1672,Coldplay,Have Yourself A Merry Little Christmas,happy
ML1673,Amy Grant,Silent Night,relaxed
ML1674,Vince Gill,Let There Be Peace On Earth,relaxed
ML1675,Stevie Wonder,One Little Christmas Tree,relaxed
ML1676,Six Feet Under,Shadow Of The Reaper,sad
ML1677,David Crowder Band,Feliz Navidad,happy
ML1678,Sanctus Real,Silent Night,relaxed
ML1679,Out Of Eden,O Little Town Of Bethlehem,relaxed
ML1680,Sara Groves,Child Of Love,happy
ML1681,Stacie Orrico,Love Came Down,happy
ML1682,Michael McDonald,I'll Be Home For Christmas,relaxed
ML1683,The Jackson 5,Give Love On Christmas Day,happy
ML1684,The Jackson 5,Have Yourself A Merry Little Christmas,happy
ML1685,Frank Sinatra,Silent Night,relaxed
ML1686,Bing Crosby,Happy Holidays ,happy
ML1687,Sammy Kershaw,Christmas Time's A Comin',happy
ML1688,Lonestar,All My Love For Christmas,happy
ML1689,Obituary,Slowly We Rot,angry
ML1690,Black Eyed Peas,Power To The People,happy
ML1691,Regina Spektor,Real Love,happy
ML1692,Jane Monheit,Have Yourself A Merry Little Christmas,happy
ML1693,Los Lonely Boys,Feliz Navidad,happy
ML1694,Underworld,Beautiful Burnout,relaxed
ML1695,Crystal Castles,Alice Practice,sad
ML1696,The Chemical Brothers,Another World,happy
ML1697,Randy Travis,White Christmas Makes Me Blue,relaxed
ML1698,Lady Antebellum,Blue Christmas,relaxed
ML1699,Rose,Sombre Con,sad
ML1700,Talking Heads,Blind,sad
ML1701,Queen,Thank God It's Christmas,happy
ML1702,Beck,Nobody's Fault But My Own,sad
ML1703,King Crimson,Matte Kudasai,sad
ML1704,Chris Tomlin,Joy To The World ,happy
ML1705,Dave Barnes,Family Tree,relaxed
ML1706,MERCY ME,Joseph's Lullaby,relaxed
ML1707,Brooklyn Tabernacle Choir,Happy Birthday Jesus,happy
ML1708,Matt Maher,Empty & Beautiful,angry
ML1709,The Temptations,Give Love On Christmas Day,happy
ML1710,Ledisi,Silent Night,relaxed
ML1711,Ledisi,Have Yourself A Merry Little Christmas,happy
ML1712,The O'Jays,Christmas Ain't Christmas ,happy
ML1713,Ledisi,What A Wonderful World,relaxed
ML1714,The Damned Things,Handbook For The Recently Deceased,angry
ML1715,Jaci Velasquez,Feliz Navidad,happy
ML1716,Luis Miguel,Ayer,sad
ML1717,Yolanda Adams,Give Love On Christmas Day,happy
ML1718,Slaughter,Mad About You,angry
ML1719,The Ramones,Merry Christmas ,happy
ML1720,B.B. King,Merry Christmas Baby,happy
ML1721,"Harry Connick, Jr.",This Christmas,happy
ML1722,Gloria Estefan,This Christmas,happy
ML1723,Diana Krall,Have Yourself A Merry Little Christmas,happy
ML1724,Curtis Lee,Pretty Little Angel Eyes,happy
ML1725,Mountain,Theme From An Imaginary Western,sad
ML1726,Bing Crosby,Silent Night,relaxed
ML1727,Th' Legendary Shack Shakers,Swampblood,sad
ML1728,Aretha Franklin,I'm In Love,happy
ML1729,Karrin Allyson,Everything Must Change,relaxed
ML1730,JJ Grey & Mofro,On Fire,angry
ML1731,Elvis Costello,One Bell Ringing,sad
ML1732,Mudcrutch,Crystal River,relaxed
ML1733,Louis Armstrong,What A Wonderful World,relaxed
ML1734,The Rolling Stones,Going Home,relaxed
ML1735,Elvis Presley,Blue Christmas ,relaxed
ML1736,Brooks & Dunn,Blue Christmas,relaxed
ML1737,Randy Travis,Pretty Paper,relaxed
ML1738,Slayer,Warzone,angry
ML1739,Meat Loaf,Hot Patootie-Bless My Soul,relaxed
ML1740,The Prodigy,Girls,happy
ML1741,Susan Boyle,Silent Night,relaxed
ML1742,Vince Gill,Blue Christmas,relaxed
ML1743,Ricky Van Shelton,Blue Christmas,relaxed
